description,amount,category
Curtis Ltd,14.54,Entertainment
expedite revolutionary synergies,34.58,Entertainment
Wiley Inc,11.61,Entertainment
deploy best-of-breed web-readiness,38.45,Utilities
Hooper Ltd,50.99,Entertainment
morph killer e-markets,97.89,Groceries
Wallace-Flores,90.59,Entertainment
utilize e-business web services,60.29,Healthcare
"Berry, Hill and Vasquez",19.91,Healthcare
productize proactive initiatives,98.83,Utilities
Middleton-Lane,93.82,Healthcare
maximize proactive networks,82.55,Healthcare
"Weeks, Jones and Winters",43.84,Utilities
streamline rich synergies,59.44,Entertainment
"Garcia, Singh and Salazar",54.60,Transport
unleash B2B e-markets,13.18,Utilities
"Mcbride, Norris and Nguyen",10.81,Transport
seize seamless e-services,50.72,Transport
Petty-Powers,15.60,Healthcare
reinvent rich applications,45.22,Dining Out
Johnson-Stanley,77.25,Dining Out
scale dot-com relationships,11.70,Dining Out
"Garcia, Melton and Hess",42.38,Healthcare
revolutionize global e-business,97.39,Dining Out
Marshall-Long,19.58,Transport
embrace open-source convergence,12.75,Groceries
"Johnson, Winters and Sharp",93.97,Dining Out
e-enable ubiquitous mindshare,91.90,Dining Out
"Page, Cobb and Clark",81.19,Dining Out
aggregate virtual schemas,21.83,Healthcare
"Saunders, Peterson and King",58.50,Healthcare
utilize turn-key partnerships,47.87,Groceries
Russell Inc,58.97,Groceries
seize front-end networks,54.34,Dining Out
Lowe-Arroyo,96.56,Utilities
enable 24/7 relationships,53.72,Healthcare
Conrad Ltd,64.46,Healthcare
e-enable synergistic markets,50.96,Entertainment
Larson and Sons,75.40,Transport
disintermediate 24/365 functionalities,63.30,Groceries
Edwards Group,22.81,Transport
morph open-source users,61.87,Utilities
Alvarez-Carey,12.53,Transport
engineer compelling mindshare,35.93,Dining Out
"Parks, Olson and Chan",23.72,Utilities
unleash extensible metrics,17.95,Transport
Nelson and Sons,10.89,Utilities
incentivize revolutionary channels,53.34,Groceries
Hernandez-Durham,95.08,Transport
exploit cutting-edge networks,36.58,Entertainment
Lowery-Oconnor,99.90,Entertainment
architect bricks-and-clicks convergence,27.13,Utilities
Price-Knight,77.81,Dining Out
facilitate front-end e-services,13.18,Dining Out
"Jackson, Young and Robinson",19.33,Healthcare
engage value-added e-markets,70.18,Entertainment
Collins Inc,88.37,Entertainment
whiteboard bricks-and-clicks convergence,51.50,Groceries
Marshall and Sons,89.05,Dining Out
redefine best-of-breed interfaces,46.49,Utilities
Fields PLC,28.09,Entertainment
strategize value-added supply-chains,24.87,Utilities
Sullivan Inc,55.61,Transport
empower killer info-mediaries,87.76,Utilities
Hays-Duncan,12.54,Dining Out
monetize web-enabled architectures,10.73,Entertainment
Evans Group,37.24,Transport
orchestrate vertical metrics,66.23,Utilities
Sanchez LLC,27.30,Transport
optimize plug-and-play models,51.94,Groceries
"Butler, Patterson and Turner",76.38,Utilities
repurpose global platforms,21.30,Entertainment
Ellis Inc,21.09,Transport
transition granular e-commerce,79.61,Healthcare
"Johnson, Best and Best",39.79,Entertainment
matrix best-of-breed metrics,97.95,Groceries
"Benson, Franklin and Hess",86.91,Utilities
utilize robust vortals,97.95,Entertainment
Thomas Ltd,24.94,Transport
e-enable innovative markets,64.22,Entertainment
"Green, Villanueva and Juarez",99.79,Entertainment
empower cross-media e-markets,89.49,Groceries
Cruz-Ibarra,91.36,Utilities
matrix cross-platform bandwidth,26.24,Utilities
Clark PLC,72.63,Utilities
incubate mission-critical experiences,68.47,Utilities
"Johnson, Patterson and Smith",35.69,Utilities
optimize transparent info-mediaries,15.01,Groceries
James-Lopez,54.01,Entertainment
implement granular methodologies,55.20,Utilities
Kirby-Robinson,17.88,Groceries
scale collaborative web services,91.24,Entertainment
Bradford Ltd,64.14,Healthcare
revolutionize frictionless models,12.66,Entertainment
Greer LLC,61.99,Entertainment
engineer enterprise relationships,59.68,Transport
Ramirez-Perry,90.06,Groceries
utilize plug-and-play experiences,99.35,Groceries
"Allen, Williams and Williams",50.05,Dining Out
repurpose back-end e-tailers,48.96,Groceries
"Hogan, Perkins and Hood",63.61,Entertainment
engage vertical niches,10.75,Utilities
"Weaver, Patton and Allen",26.52,Groceries
transition visionary convergence,37.81,Utilities
Jones and Sons,47.46,Dining Out
whiteboard user-centric schemas,91.35,Transport
Barnett-Johnson,63.80,Dining Out
envisioneer out-of-the-box experiences,16.13,Groceries
"Bailey, Little and Jones",78.75,Entertainment
implement out-of-the-box bandwidth,83.33,Healthcare
Blake-Lopez,93.10,Transport
brand B2C e-commerce,39.79,Entertainment
Burgess Inc,35.10,Entertainment
redefine transparent experiences,57.31,Transport
Morse and Sons,59.68,Utilities
unleash bleeding-edge paradigms,75.51,Entertainment
"Rivera, Scott and Martinez",17.93,Utilities
envisioneer seamless schemas,88.61,Healthcare
Beard LLC,47.70,Entertainment
harness ubiquitous functionalities,74.86,Dining Out
"Bush, Davis and Young",49.78,Transport
expedite visionary channels,78.93,Transport
"Mccormick, Peters and Newton",27.99,Healthcare
incubate interactive communities,24.63,Entertainment
"Russell, Smith and Perkins",75.68,Utilities
benchmark impactful e-services,45.44,Utilities
"Gilbert, Nelson and Humphrey",18.85,Entertainment
mesh killer paradigms,11.20,Transport
Lee-Wright,42.81,Entertainment
reinvent bleeding-edge web services,95.84,Transport
"Monroe, Meyer and Roberts",17.57,Utilities
productize sticky functionalities,56.90,Utilities
"Moore, Adams and Andrews",77.60,Transport
mesh web-enabled markets,22.14,Transport
Calderon-Brown,72.15,Dining Out
scale plug-and-play technologies,92.52,Utilities
Holmes-Brown,42.14,Dining Out
re-intermediate virtual infrastructures,23.02,Dining Out
Patterson Inc,58.31,Transport
scale holistic communities,68.05,Groceries
Burton PLC,42.59,Transport
seize viral functionalities,45.64,Dining Out
Collins and Sons,89.83,Groceries
scale intuitive synergies,88.10,Utilities
Wells-Peterson,17.76,Utilities
envisioneer frictionless partnerships,34.51,Entertainment
Gutierrez-Lopez,57.79,Dining Out
benchmark strategic e-commerce,26.29,Transport
"Morris, Woodward and Brandt",89.03,Dining Out
re-intermediate frictionless schemas,50.17,Groceries
Orr PLC,27.50,Entertainment
empower bricks-and-clicks mindshare,67.70,Groceries
Fletcher-Perry,12.47,Transport
iterate B2B e-commerce,44.74,Transport
Perkins LLC,22.99,Groceries
facilitate one-to-one solutions,35.03,Dining Out
Stout-Valencia,74.12,Dining Out
embrace proactive schemas,88.36,Transport
Aguirre-Martinez,58.08,Utilities
maximize web-enabled mindshare,22.40,Transport
"Alvarez, Pitts and Howard",72.80,Groceries
matrix integrated applications,81.27,Healthcare
Hernandez-Perkins,58.06,Utilities
incubate viral models,27.40,Entertainment
Campbell LLC,40.60,Transport
expedite 24/7 content,56.21,Healthcare
Martin-Fowler,82.38,Healthcare
aggregate global portals,18.45,Dining Out
"Murphy, Walker and Kirk",78.50,Entertainment
morph robust channels,43.88,Entertainment
"Duncan, Villa and Myers",49.55,Dining Out
repurpose best-of-breed niches,41.35,Utilities
"Wilson, Brown and Barber",14.77,Entertainment
unleash integrated solutions,43.85,Transport
Rangel-Henderson,75.35,Utilities
integrate global portals,70.72,Healthcare
"Owen, Gonzalez and Jackson",56.37,Healthcare
engage seamless networks,76.77,Healthcare
"Romero, Robertson and Lozano",43.51,Healthcare
engage magnetic e-business,74.56,Transport
Huynh LLC,50.30,Healthcare
facilitate interactive metrics,29.47,Dining Out
"Tucker, Carr and Jackson",30.41,Transport
seize magnetic markets,91.07,Utilities
Velasquez Ltd,37.46,Transport
repurpose synergistic partnerships,90.85,Entertainment
Perez-Heath,67.80,Utilities
extend revolutionary partnerships,31.92,Healthcare
Brown LLC,67.47,Utilities
reinvent integrated architectures,59.93,Transport
"Adams, Gardner and Wilson",77.70,Healthcare
strategize visionary ROI,15.74,Groceries
Sanders Inc,32.62,Groceries
streamline real-time mindshare,88.82,Utilities
"Morris, Sanchez and Glass",31.44,Transport
repurpose clicks-and-mortar users,53.16,Utilities
"Simmons, Willis and Price",85.92,Healthcare
iterate dynamic synergies,43.29,Utilities
West and Sons,89.52,Transport
deliver turn-key platforms,82.82,Transport
Owens-Smith,92.65,Groceries
streamline viral niches,52.30,Entertainment
"Anderson, Harmon and Hernandez",59.69,Transport
e-enable intuitive markets,66.72,Utilities
Rose LLC,30.51,Groceries
expedite impactful systems,62.33,Transport
Turner-Cooke,15.24,Transport
drive clicks-and-mortar info-mediaries,13.01,Entertainment
Fields PLC,65.94,Groceries
embrace user-centric deliverables,27.36,Entertainment
Hooper Group,60.10,Healthcare
leverage world-class relationships,10.03,Dining Out
Lopez-Bryant,70.69,Dining Out
engage enterprise portals,97.00,Healthcare
"Farrell, Miller and Taylor",73.73,Entertainment
implement mission-critical e-services,20.52,Transport
Mathews Ltd,51.68,Transport
morph collaborative users,93.14,Dining Out
Martin-Henry,92.71,Transport
target granular systems,72.29,Healthcare
Cook-Stewart,76.69,Transport
incubate value-added schemas,50.38,Entertainment
Hernandez Ltd,55.76,Groceries
integrate granular users,32.51,Dining Out
Green-Travis,13.40,Utilities
generate leading-edge e-commerce,74.59,Utilities
Stanton LLC,41.95,Transport
enable intuitive technologies,52.33,Dining Out
Marshall-Daniels,95.47,Healthcare
re-intermediate user-centric experiences,36.05,Groceries
House Inc,41.97,Healthcare
incentivize innovative experiences,32.65,Healthcare
King-Williams,78.44,Groceries
enhance leading-edge portals,98.62,Entertainment
Hall PLC,29.33,Transport
benchmark impactful eyeballs,83.08,Dining Out
Moore LLC,89.12,Groceries
aggregate dot-com initiatives,87.08,Entertainment
Morgan Inc,77.08,Transport
grow global bandwidth,88.78,Transport
Armstrong Inc,53.33,Transport
morph plug-and-play niches,91.67,Dining Out
"Hall, Anderson and Barron",14.58,Transport
facilitate 24/7 applications,74.94,Utilities
Miller PLC,18.59,Utilities
enable granular info-mediaries,22.43,Healthcare
Chapman LLC,77.32,Transport
reinvent 24/7 vortals,15.83,Entertainment
Herrera PLC,63.42,Transport
architect strategic technologies,23.47,Transport
"Rivera, Smith and Warren",51.18,Transport
brand dynamic info-mediaries,84.48,Transport
Alexander-Montgomery,97.19,Utilities
monetize seamless infrastructures,57.24,Transport
Brown and Sons,72.79,Healthcare
incubate best-of-breed platforms,66.70,Entertainment
Marsh-Powers,85.25,Utilities
visualize B2C e-commerce,97.93,Dining Out
Jennings PLC,21.21,Utilities
re-intermediate holistic applications,42.54,Dining Out
"Frye, Barrera and Harrington",58.16,Transport
extend wireless mindshare,12.49,Entertainment
Powell-Henry,65.75,Healthcare
visualize open-source supply-chains,92.28,Groceries
Johnson-Martinez,49.71,Utilities
strategize 24/365 solutions,58.07,Healthcare
"Graham, Cox and Allen",93.19,Entertainment
implement turn-key platforms,40.07,Healthcare
Leon-Stuart,37.37,Dining Out
facilitate best-of-breed info-mediaries,23.05,Transport
Jones-Bishop,79.12,Dining Out
seize B2C vortals,91.96,Healthcare
Clements Ltd,72.24,Transport
extend 24/7 portals,55.93,Groceries
Wood Ltd,58.71,Dining Out
envisioneer dynamic applications,76.30,Utilities
Harris-Erickson,11.79,Groceries
embrace plug-and-play bandwidth,45.07,Transport
Thompson LLC,75.34,Entertainment
leverage ubiquitous supply-chains,14.72,Groceries
Page-Brown,39.91,Transport
target cutting-edge vortals,59.44,Groceries
Wilson and Sons,64.61,Transport
productize turn-key metrics,33.37,Groceries
Evans and Sons,52.42,Groceries
mesh frictionless eyeballs,16.70,Dining Out
Fisher-Nichols,63.17,Entertainment
deploy leading-edge e-services,81.41,Entertainment
"Reed, Smith and Aguilar",20.86,Groceries
expedite world-class platforms,64.32,Healthcare
"Serrano, Schultz and Price",53.53,Groceries
transform cross-platform e-commerce,61.10,Utilities
Smith-Norris,91.18,Entertainment
extend turn-key e-commerce,48.61,Utilities
"Ellison, Koch and Fisher",66.60,Transport
maximize efficient e-services,12.55,Healthcare
Pham-Harding,81.32,Entertainment
re-contextualize viral info-mediaries,31.20,Groceries
Petty PLC,35.07,Entertainment
synergize visionary channels,28.78,Entertainment
Gutierrez Group,20.65,Healthcare
extend dot-com web services,70.24,Groceries
"Hickman, Mcintyre and Gonzalez",59.51,Transport
enable ubiquitous e-markets,57.77,Groceries
Smith Ltd,75.26,Utilities
morph magnetic synergies,44.69,Healthcare
"Miller, Hansen and Jackson",26.14,Transport
scale revolutionary schemas,55.97,Transport
Martinez PLC,44.67,Healthcare
benchmark enterprise systems,44.81,Healthcare
"Fritz, Watts and Grant",96.80,Utilities
whiteboard front-end infrastructures,20.31,Groceries
Lewis PLC,94.13,Dining Out
deliver web-enabled methodologies,24.79,Entertainment
"White, Stone and Rodriguez",18.82,Groceries
evolve intuitive eyeballs,63.89,Utilities
Hawkins-Silva,86.98,Transport
engage leading-edge paradigms,95.70,Groceries
"Mathews, Meyer and Ellis",81.71,Dining Out
exploit integrated portals,59.79,Groceries
Brandt-Brown,62.56,Healthcare
brand open-source markets,28.26,Groceries
Baker LLC,66.99,Entertainment
incentivize one-to-one methodologies,66.35,Entertainment
Delgado-Marshall,51.87,Healthcare
e-enable wireless platforms,51.27,Utilities
Mccarthy-Arnold,59.57,Healthcare
transform vertical applications,77.41,Transport
Sanchez Inc,59.82,Dining Out
incentivize viral markets,20.01,Dining Out
Holland LLC,40.22,Entertainment
aggregate collaborative systems,80.70,Healthcare
Stevens-Morris,79.96,Transport
enhance turn-key technologies,94.22,Utilities
Ford-Hernandez,47.28,Healthcare
redefine best-of-breed metrics,85.00,Entertainment
"Wong, Roberts and Edwards",70.06,Transport
mesh collaborative networks,42.55,Entertainment
Buck-Mcintosh,15.96,Utilities
utilize best-of-breed e-markets,61.55,Healthcare
Shaffer-Bowers,70.08,Healthcare
integrate cutting-edge supply-chains,82.15,Transport
Lawrence-Kelly,54.22,Entertainment
re-intermediate impactful partnerships,66.09,Dining Out
Fletcher LLC,99.56,Healthcare
productize B2B vortals,97.14,Healthcare
"Reed, Gaines and Booth",87.51,Groceries
utilize rich networks,42.53,Entertainment
King-Bennett,55.60,Dining Out
engineer proactive e-markets,12.47,Dining Out
Barrett LLC,53.40,Groceries
architect granular info-mediaries,89.13,Dining Out
"Calhoun, Martin and Thomas",26.58,Healthcare
brand value-added content,71.70,Utilities
"Williams, Shea and Taylor",47.59,Utilities
redefine strategic deliverables,17.17,Healthcare
"Myers, Jackson and Guzman",21.23,Utilities
generate dynamic info-mediaries,94.94,Utilities
"Stevens, Martin and Miller",73.36,Utilities
reinvent strategic synergies,15.69,Transport
Allen-Davis,21.81,Utilities
enhance user-centric schemas,43.88,Entertainment
Walker Inc,40.92,Utilities
engage magnetic relationships,47.37,Transport
"Wright, Edwards and Wilson",27.37,Groceries
iterate out-of-the-box e-markets,95.62,Transport
Velez and Sons,39.51,Groceries
disintermediate mission-critical systems,50.36,Groceries
Smith-Jenkins,98.21,Utilities
mesh rich eyeballs,64.02,Entertainment
Day LLC,61.89,Groceries
redefine holistic e-business,82.62,Groceries
"Martinez, Hall and Santiago",30.40,Groceries
syndicate dynamic e-markets,35.48,Transport
"Acosta, Lewis and Krueger",59.25,Dining Out
maximize viral niches,11.17,Utilities
Baker Group,26.93,Entertainment
facilitate plug-and-play vortals,19.40,Healthcare
Nguyen and Sons,97.60,Transport
unleash front-end architectures,55.41,Transport
Cook Group,98.90,Entertainment
disintermediate mission-critical communities,15.96,Utilities
Torres-Simpson,36.85,Entertainment
benchmark integrated relationships,71.79,Groceries
Baldwin PLC,18.01,Groceries
re-intermediate mission-critical portals,63.93,Groceries
Wilson-Barnett,73.95,Dining Out
scale turn-key systems,64.38,Dining Out
"Mckinney, Ho and Young",86.96,Transport
monetize robust systems,46.72,Entertainment
"West, Hansen and Gutierrez",20.93,Entertainment
strategize ubiquitous schemas,23.88,Entertainment
Ramos-Gould,98.87,Utilities
synergize cross-platform metrics,20.06,Utilities
Fisher-Vega,49.19,Transport
maximize efficient partnerships,69.29,Utilities
"Harrison, Brooks and Valdez",21.06,Utilities
scale clicks-and-mortar e-commerce,69.37,Groceries
Brown-Williams,21.71,Entertainment
optimize turn-key applications,87.44,Dining Out
King LLC,58.48,Groceries
matrix seamless niches,59.92,Dining Out
